"id_acronym","id_acronym_unique","description"
"AC","AC","Agence Comptable."
"ACC","ACC","Agence Courrier Colis."
"ADV","ADV","Administration Des Ventes."
"AE","AE","Agence Entreprises."
"ARPU","ARPU","Average Revenu Per User ou revenu moyen par client ou utilisateur."
"BAT","BAT","Bâtiment (Service Logistique et Bâtiments)."
"BDD","BDD","Base De Données."
"BO","BO","Bulletin Officiel."
"BP","BP","Boîte Postale ou Brevet Professionnel banque."
"BSCS","BSCS","Base de gestion des données Mobilis."
"BUS","BUS","Entreprise Service Bus : permet la communication des applications qui n’ont pas été conçues pour fonctionner ensemble."
"CA","CA","Chiffre d’Affaires."
"CADP","CADP","Centre d’Architecture des réseaux, de Documentation et de Planification."
"CAO","CAO_1","Commission d’Appel d’Offres."
"CAO","CAO_2","Conception Assistée par Ordinateur."
"CATA","CATA","Centre d’Approvisionnement Transport et Ateliers."
"CCP","CCP","Centre de Chèques Postaux."
"CDC","CDC","Centre de Distribution du Courrier."
"CEIF","CEIF","Centre d’Exploitation de l’accès à Internet et des réseaux Fixes."
"CERM","CERM","Centre d’Exploitation des Réseaux Mobiles."
"CETI","CETI","Centre d’Exploitation des Télécommunications de l’Intérieur (Koné)."
"CETL","CETL","Centre d’Exploitation des Télécommunications des îles Loyauté."
"CFN","CFN","Centre Financier de Nouméa."
"CGIT","CGIT","Centre de Gestion des Infrastructures et des réseaux de Transport."
"CMD","CMD","Cellule des Moyens Délocalisés."
"COFI","COFI","Conseiller Financier."
"COPOL","COPOL","Conseiller Polyvalent."
"COTEL","COTEL","Conseiller Télécoms."
"CPA","CPA","Comptabilité Par Activité."
"CPMC","CPMC","Centre de Production et de Maintenance Client."
"CPP","CPP","Clients Privilégiés partenaires et Publipostage."
"CRM","CRM","Customer Relationship Management."
"CSB","CSB","Calédonienne des Services Bancaires."
"CTC","CTC","Centre de Traitement du Courrier."
"CTD","CTD","Commission Technique de Dépouillement."
"DAO","DAO","Dessin Assisté par Ordinateur."
"DCC","DCC","Direction du Courrier et du Colis."
"DESCF","DESCF","Diplôme d’Etudes Supérieures Comptables et Financières."
"DFI","DFI","Direction Financière."
"DG","DG","Direction Générale."
"DG CAB","DG CAB","Cabinet du Directeur Général."
"DGCOM","DGCOM","Service Communication de la Direction Générale."
"DGDNA","DGDNA","Direction Générale Déléguée en charge du Numérique et de l’Aménagement."
"DGDPE","DGDPE","Direction Générale Déléguée en charge de la Performance Economique."
"DGDPS","DGDPS","Direction Générale Déléguée en charge du Pilotage Stratégique."
"DI","DI","Direction Informatique devient DSI (Direction des Systèmes d’Information)."
"DRH","DRH","Direction des Ressources Humaines."
"DRV","DRV","Direction des Réseaux de Vente."
"DSB","DSB","Direction des Services Bancaires."
"DSI","DSI","Direction des Systèmes d’Information."
"DT","DT","Direction des Télécommunications."
"EMS","EMS","Express Mail Service."
"EPI","EPI","Equipement de Protection Individuelle."
"ERM","ERM","Exploitation Radio Maritime."
"ERP","ERP","Entreprise Ressource Planning, en français « PGI » Progiciel de Gestion Intégré."
"ESRI","ESRI","Environmental Systems Research Institute, inventeur du SIG (Système d’Information Géographique)."
"FFTH","FFTH","Fiber To The Home - La fibre optique jusqu’au foyer."
"FH","FH","Faisceau Hertzien."
"FO","FO","Fibre Optique."
"FTA","FTA","Fichier Technique des Abonnés."
"GAB","GAB","Guichet Automatique de Banque."
"GARP","GARP","Gestion Administrative Réglementation Paye."
"GC","GC","Génie Civil."
